name,Pres01,Pres02,Pres03,Pres04,Pres05,Pres06,Pres07,Deg01,Deg02,Deg03,Deg04,Deg05,Deg06,Deg07
Trichomonas,0.0,0.0,0.00148,0.00225,0.0,0.00097,0.0,0.00124,0.0,0.0,0.00061,0.0026,0.00112,0.0
Trichormus,0.0,0.0,0.0,0.00075,0.0,0.00097,0.0,0.00124,0.0,0.0,0.0,0.0,0.0,0.0
Trichothermofontia,0.0,0.00265,0.0,0.0,0.0,0.0,0.00402,0.0,0.0,0.00185,0.0,0.0,0.0,0.00238
Trigintaduovirus,0.0,0.0,0.0,0.0,0.0,0.0,0.00402,0.00124,0.0,0.0,0.0,0.0,0.0,0.0
Trinickia,0.02919,0.02782,0.02669,0.0255,0.01965,0.03098,0.01609,0.0286,0.0666,0.02781,0.02543,0.01344,0.01117,0.02981
Triplejayvirus,0.0,0.0,0.0,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112,0.0
Tritonibacter,0.01251,0.00795,0.01038,0.0135,0.00281,0.00871,0.00402,0.00497,0.00579,0.01298,0.01695,0.03511,0.01899,0.00715
Tritonvirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043,0.0,0.0
Tropheryma,0.00626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00579,0.0,0.00061,0.00043,0.00223,0.00119
Tropicibacter,0.00209,0.00927,0.00148,0.0045,0.00702,0.00678,0.00402,0.00497,0.0029,0.00371,0.02422,0.02601,0.00447,0.01908
Truepera,0.00626,0.00397,0.00445,0.003,0.00421,0.01065,0.00402,0.00497,0.0,0.00371,0.00666,0.00173,0.00447,0.00477
Trueperella,0.0146,0.00397,0.0341,0.012,0.00982,0.01452,0.0,0.0087,0.02317,0.00927,0.00727,0.01994,0.01452,0.01192
Trypanosoma,0.0,0.00265,0.00148,0.00075,0.0014,0.00194,0.0,0.0,0.0,0.0,0.00182,0.00173,0.0,0.00238
Tsukamurella,0.02919,0.04636,0.06228,0.04424,0.06455,0.07164,0.01207,0.05471,0.03185,0.03152,0.04541,0.04334,0.03351,0.04054
Tsuneonella,0.03545,0.03841,0.03855,0.10574,0.04771,0.02808,0.02413,0.03109,0.05792,0.0686,0.06358,0.13826,0.02346,0.07154
Tumebacillus,0.00209,0.00662,0.00741,0.006,0.00561,0.00968,0.00402,0.00249,0.0,0.00371,0.00424,0.00087,0.00447,0.00715
Tunicatimonas,0.0,0.0,0.00148,0.00075,0.00281,0.00097,0.0,0.00124,0.0029,0.0,0.00061,0.00043,0.00223,0.00119
Tupanvirus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00119
Turbidovirus,0.0,0.0,0.0,0.00225,0.0,0.0,0.0,0.0,0.0,0.0,0.00061,0.0,0.0,0.0
Turicibacter,0.0,0.00132,0.0,0.00075,0.0,0.00194,0.0,0.0,0.0029,0.0,0.00182,0.00693,0.00112,0.00238
Turicimonas,0.00417,0.00397,0.00148,0.0015,0.0,0.00097,0.0,0.00124,0.0029,0.00185,0.00242,0.00173,0.00112,0.0
Turneriella,0.00417,0.00132,0.00148,0.0015,0.00281,0.0,0.0,0.00373,0.00579,0.0,0.0,0.0013,0.00335,0.00119
Tuwongella,0.00417,0.01192,0.01631,0.00525,0.01263,0.01259,0.0,0.0087,0.01737,0.00742,0.00666,0.00087,0.0067,0.00715
Tyzzerella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0013,0.00112,0.0
Umezawaea,0.01043,0.02119,0.02521,0.024,0.02386,0.05131,0.01207,0.02736,0.01158,0.02966,0.02301,0.01257,0.03686,0.01192
Undibacterium,0.02085,0.01987,0.01038,0.027,0.01684,0.01646,0.04022,0.02238,0.01158,0.00927,0.0218,0.0156,0.03686,0.02623
Urbifossiella,0.07715,0.08478,0.11418,0.04274,0.04631,0.0426,0.00402,0.0572,0.07819,0.07231,0.04118,0.0078,0.04357,0.0942
Ureaplasma,0.00209,0.0,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00182,0.0,0.00223,0.00119
Urechidicola,0.0,0.00397,0.0,0.00075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0
Ureibacillus,0.0,0.0,0.00297,0.0,0.0,0.00097,0.0,0.00249,0.0029,0.00556,0.00061,0.0,0.00223,0.00238
